Denominazione Corpo Idrico;Codice Europeo Corpo Idrico; Codice Regionale Stazione;Tipologia Corpo Idrico;Tipologia Monitoraggio;Stato/Potenziale Ecologico triennio 2021-2023;Stato Chimico triennio 2021-2023
Rio Valchetta (Cremera) 3;IT12N010_VALCHETTA3_14SS3T;F4.96;Fortemente Modificato;Operativo;Scarso;Buono
Rio Vicano 1;IT12N010_RIOVICANO1_14SS1T;F5.77;Naturale;Operativo;Cattivo;Non Buono
Rio Vicano 2;IT12N010_RIOVICANO2_14SS2T;F5.78;Naturale;Operativo;Sufficiente;Non Buono
Torrente Alabro 1;IT12N005_ALABRO1_13SS1T;F1.74;Fortemente Modificato;Operativo;Sufficiente;Buono
Torrente Alabro 2;IT12N005_ALABRO2_13SS2T;F1.36;Fortemente Modificato;Operativo;Scarso;Buono
Torrente Capofiume 2;IT12N005_TCAPOFIUME2_13SS2T;F1.37;Naturale;Nucleo/Sorveglianza;Buono;Buono
Torrente Arrone 1;IT12R12ARN_TARRONE1_14SS1T;F5.70;Naturale;Operativo;Sufficiente;Buono
Torrente Arrone 2;IT12R12ARN_TARRONE2_14SS2T;F5.08;Naturale;Operativo;Sufficiente;Buono
Torrente Ausente 2;IT12N005_AUSENTE2_15SS2T;F2.81;Fortemente Modificato;Operativo;Sufficiente;Buono
Torrente Biedano 2;IT12R12MAR_BIEDANO2_14SS2T;F5.79;Naturale;Operativo;Scarso;Buono
Torrente Farfa 1;IT12N010_FARFA1_13SR6T;F3.73;Naturale;Sorveglianza;Buono;Buono
Torrente Farfa 2;IT12N010_FARFA2_13SS2T;F3.74;Naturale;Sorveglianza;Buono;Buono
Torrente Farfa 4;IT12N010_FARFA4_14SS3F;F3.53 ;Naturale;Sorveglianza;Sufficiente;Buono
Torrente Stridolone 1;IT12N010_STRID1_11SS2T;F5.80;Naturale;Operativo;Buono;Buono
Torrente Traponzo 2;IT12R12MAR_TRAPONZO2_14SS2T;F5.81;Naturale;Operativo;Sufficiente;Buono
Torrente Treja 1;IT12N010_TREJA1_14SS2T;F4.99;Naturale;Operativo;Sufficiente;Non Buono
Torrente Treja 2;IT12N010_TREJA2_14SS3T;F5.82;Naturale;Operativo;Sufficiente;Non Buono
Torrente Vesca 2;IT12R12MIG_VESCA2_14IN7T;F5.83;Naturale;Operativo;Elevato;Buono
Torrente Fiumicino 1;IT12N010_FIUMICINO1_13IN7T;F4.68;Naturale;Sorveglianza;Buono;Buono
Torrente Simbrivio 2;IT12N010_SIMBRIVIO2_13SS2T;F4.98 ;Naturale;Sorveglianza;Elevato;n.d.
